p1,p2,response
-900.7389133550234,723.4132316318587,Oxidoreductases
-533.5385517941052,576.8893370749303,Oxidoreductases
-531.7567813854762,-972.0164865718432,Oxidoreductases
-415.46330266496494,-371.5219587084224,Oxidoreductases
-638.9381554372434,-336.7641499737017,Oxidoreductases
459.9725651420855,571.3966939533558,Oxidoreductases
-583.9547961241025,-57.23060638266902,Oxidoreductases
-642.488853870403,-894.5917517909562,Oxidoreductases
-755.7518433349348,-464.880499024138,Oxidoreductases
-975.1713007656788,-976.3804985435656,Oxidoreductases
-250.2733561028531,-229.03972329217882,Oxidoreductases
-489.91741816211453,-560.5620387044537,Oxidoreductases
-130.01780677385307,99.88077410766603,Oxidoreductases
-727.8773331796963,-103.8115877375628,Oxidoreductases
-1029.6594450422585,224.91482612145128,Oxidoreductases
51.185434039215814,2724.7490750682446,Oxidoreductases
-492.1980447366797,-438.5048391476165,Oxidoreductases
-778.3117102313546,-783.6415872948821,Oxidoreductases
-434.8982199752333,-502.8269494920921,Oxidoreductases
-1011.6010623785983,-404.0764569322042,Oxidoreductases
483.20765562276364,-790.6959515369293,Oxidoreductases
272.8974808473647,-1081.9104931935817,Oxidoreductases
-715.2882786880876,-624.7252221337155,Oxidoreductases
-1189.4514120518093,447.6580612475833,Oxidoreductases
-795.8778018186035,-592.2081862768244,Oxidoreductases
-861.840729556036,-814.1046577542185,Oxidoreductases
-89.88897861942273,-394.44093559448885,Oxidoreductases
-1344.237478450722,-308.78767852955673,Oxidoreductases
-203.92232667937014,-888.6979151654837,Oxidoreductases
68.31768878814806,-458.0706379111147,Oxidoreductases
208.6779024293413,325.2203314402436,Oxidoreductases
-825.183106385791,-111.45788886671271,Oxidoreductases
-825.183106385791,-111.45788886671271,Oxidoreductases
-431.76610210382114,1075.5082377777478,Oxidoreductases
-368.61169410209743,-203.27451293932558,Oxidoreductases
-654.0422217880699,-1009.6570782381301,Oxidoreductases
-271.9574876581762,1298.1071888133795,Oxidoreductases
-705.7821992439826,771.646393658655,Oxidoreductases
-903.5928449213808,-823.461873333195,Oxidoreductases
524.1919819313244,1257.1095781950703,Oxidoreductases
-279.6424947104775,670.1064895478462,Oxidoreductases
-853.0027198596413,1654.3566723766244,Oxidoreductases
-386.6747003841324,116.90662252018895,Oxidoreductases
-120.4509689908193,256.15785915180817,Oxidoreductases
-755.0562419003321,899.1775839187336,Oxidoreductases
-713.3727749669265,-471.45646621115804,Oxidoreductases
-1128.7616876030008,94.65580746131234,Oxidoreductases
-1026.8086702938674,-382.4155083899096,Oxidoreductases
-718.0914580960947,1977.3331273445556,Oxidoreductases
-365.23040082046117,600.372565724987,Oxidoreductases
-165.05290343171905,1055.5304129918038,Oxidoreductases
-712.5901487596819,-1063.2160751953384,Oxidoreductases
-1011.8975738782552,-519.8986644369327,Oxidoreductases
-1525.4994925379099,-25.896152378390966,Oxidoreductases
-663.6241301796476,-968.4608122620212,Oxidoreductases
-673.4651114061124,-243.01600812286551,Oxidoreductases
-753.1468534862455,-999.3487445518571,Oxidoreductases
-660.1556654624675,-977.8045421177742,Oxidoreductases
-1078.8843604310637,216.05624740008952,Oxidoreductases
-895.0910522202313,1744.8840790886725,Oxidoreductases
-634.1052583098219,-572.6630345520882,Oxidoreductases
-143.01156096163763,-1082.4247158899013,Oxidoreductases
-607.294494456048,-1029.1321442255585,Oxidoreductases
-155.7752265771857,598.1637866962927,Oxidoreductases
-657.8006591224395,737.5775884668442,Oxidoreductases
98.32079353139784,1910.5311132020745,Oxidoreductases
-802.1027194592265,-1040.2018143812757,Oxidoreductases
-951.4813461543449,1668.0591785065774,Oxidoreductases
-446.773938035327,752.6035514254751,Oxidoreductases
326.375741143528,-447.5194444304651,Oxidoreductases
-649.4669653234074,-698.1094909642592,Oxidoreductases
-2056.4953593253067,614.9113315152097,Oxidoreductases
-2350.305720586227,392.30955888949495,Oxidoreductases
-1293.3324154808731,748.355029192812,Oxidoreductases
719.6314878936051,681.222011008217,Oxidoreductases
-1428.1222512131924,413.99662290820754,Oxidoreductases
-1433.816286689598,-828.8946531084599,Oxidoreductases
-1794.919016718109,1942.2070707594137,Oxidoreductases
763.563972949472,640.7087841352522,Oxidoreductases
1721.8149946524527,1944.7468419730262,Oxidoreductases
-1927.1857076965825,-162.222811938953,Oxidoreductases
-1628.556506301916,-59.2365966655353,Oxidoreductases
-1618.2491913272033,57.806078204028324,Oxidoreductases
-739.7831932151375,1139.7346583609537,Oxidoreductases
-1660.0312872613679,-533.4506209383192,Oxidoreductases
-1143.6237217353487,152.66546899578697,Oxidoreductases
-2164.4999191569977,608.6913543411904,Oxidoreductases
-668.6138062987933,-1172.4617860202484,Oxidoreductases
-551.0936755399605,-133.41524765842095,Oxidoreductases
309.1101701366496,-425.1746585379245,Oxidoreductases
-60.934413715565874,-1089.6442571741625,Oxidoreductases
353.8428504253701,-1382.684006774186,Oxidoreductases
-697.8306810292869,-919.4227958838923,Oxidoreductases
-738.0378368295321,-940.5816633589194,Oxidoreductases
9.243034546627563,-744.8120199947866,Oxidoreductases
-928.1451727275324,59.01903935953945,Oxidoreductases
-566.4486377070468,-1104.0291459044658,Oxidoreductases
869.4750828953371,49.87283296300735,Oxidoreductases
