p1,p2,response
-45.708717,34.996796,Oxidoreductases
-71.79141,29.242,Oxidoreductases
-96.47769,26.48594,Oxidoreductases
-66.03124,-2.5760517,Oxidoreductases
-63.772667,-49.913166,Oxidoreductases
31.125334,74.78205,Oxidoreductases
-65.29083,4.0540743,Oxidoreductases
-95.08411,26.217117,Oxidoreductases
-65.50318,13.697496,Oxidoreductases
-95.83527,31.323551,Oxidoreductases
30.645836,36.097656,Oxidoreductases
-97.21384,30.676962,Oxidoreductases
-16.221836,10.098955,Oxidoreductases
-45.95938,15.543468,Oxidoreductases
-79.01185,23.271994,Oxidoreductases
33.383232,58.143948,Oxidoreductases
-8.801506,64.51377,Oxidoreductases
-95.27517,26.09683,Oxidoreductases
20.305464,22.505144,Oxidoreductases
-97.364265,26.61292,Oxidoreductases
-9.016792,64.6758,Oxidoreductases
-63.947876,-57.10753,Oxidoreductases
-63.94478,-57.10938,Oxidoreductases
41.528656,23.933836,Oxidoreductases
-5.3742023,-32.120205,Oxidoreductases
-28.099178,-63.706627,Oxidoreductases
27.391262,-72.65432,Oxidoreductases
11.554579,27.825827,Oxidoreductases
-40.182434,-74.56054,Oxidoreductases
-45.294712,17.563581,Oxidoreductases
-15.69345,-62.43688,Oxidoreductases
-66.23139,-29.935095,Oxidoreductases
-66.2261,-29.935005,Oxidoreductases
-28.020992,-45.16921,Oxidoreductases
-19.410358,31.384682,Oxidoreductases
-8.786013,64.50302,Oxidoreductases
23.818436,6.124803,Oxidoreductases
-13.332426,-9.915924,Oxidoreductases
-97.198944,30.668718,Oxidoreductases
-8.080284,42.797684,Oxidoreductases
-8.274102,85.64439,Oxidoreductases
35.516327,28.411098,Oxidoreductases
-91.79699,29.066044,Oxidoreductases
27.473036,-50.252354,Oxidoreductases
4.3011894,48.999115,Oxidoreductases
-98.56315,26.844614,Oxidoreductases
10.567646,14.259908,Oxidoreductases
20.285002,-47.260475,Oxidoreductases
-57.383575,41.107662,Oxidoreductases
-59.558537,30.209063,Oxidoreductases
47.28491,45.71098,Oxidoreductases
-50.693943,-20.023685,Oxidoreductases
-84.39995,7.8316374,Oxidoreductases
17.000654,34.038895,Oxidoreductases
-93.49057,31.017895,Oxidoreductases
-50.94255,-19.972248,Oxidoreductases
-95.15589,26.151842,Oxidoreductases
18.130026,-51.281742,Oxidoreductases
-30.684692,-64.401634,Oxidoreductases
-84.399765,7.830453,Oxidoreductases
-91.8059,29.068302,Oxidoreductases
-32.02518,25.506714,Oxidoreductases
32.9122,66.43262,Oxidoreductases
-41.424313,31.851303,Oxidoreductases
-15.215518,30.396046,Oxidoreductases
0.5305411,-75.52037,Oxidoreductases
22.331007,-23.201494,Oxidoreductases
-84.40104,7.838049,Oxidoreductases
